BFF_Label;negative_adjectives_component;social_order_component;action_component;positive_adjectives_component;joy_component;affect_friends_and_family_component;fear_and_digust_component;politeness_component;polarity_nouns_component;polarity_verbs_component;virtue_adverbs_component;positive_nouns_component;respect_component;trust_verbs_component;failure_component;well_being_component;economy_component;certainty_component;positive_verbs_component;objects_component
A;0.0;0.272333333;0.0;-0.4375;0.0;0.319216667;0.0;0.0;0.24747;0.510025;0.0;0.0;0.2915;0.0;0.0;0.0;0.0;0.214;0.0;0.0
A;-0.0578144;0.182833333;1.021;0.586125;0.0;0.365756667;0.17;0.0;0.976572;-1.280552;0.0;0.0;0.0;0.711;0.0;0.0;0.0;0.322666667;0.0;0.0
A;-1.3284448;0.434;0.594833333;2.006705556;0.0;0.0;0.0;0.0;0.6912144;0.0;0.070666667;0.0;0.173;0.0;0.0;0.0;0.0;0.730222222;0.0;0.0
A;-0.03088;0.0;0.0;0.441975;0.0932;0.4069;0.4952;0.23;0.6110869999999999;1.641303;0.0;0.0;0.0;0.1986;0.0;0.0;0.1144;0.2646;0.0;0.0
A;2.905232857;0.412571429;0.808642857;-0.38913;0.0;0.0;0.092285714;0.082142857;0.133567;0.222433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.276571429;0.0;0.0
A;-1.2958143999999998;0.423333333;0.307333333;0.256958333;2.02208;0.6738533329999999;0.0;0.0;0.4416143329999999;0.631016;0.0;0.0;0.0;0.0;0.0;0.124666667;0.0;0.196333333;1.010166667;0.0
A;3.939;0.0;0.0;-0.416;0.8902;0.2716;0.7058;0.0;-0.2053264;-0.182929;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;1.0395378;1.1552;0.0;-0.134615;0.0;1.1534;1.1892;0.0;0.410066;-1.276202;0.0;0.0;0.0;0.0;0.0;0.3108;0.0;0.4746;-0.872;0.0
A;7.376315382;0.175454545;0.0;-0.160803636;0.0;0.939909091;0.320818182;0.0;0.659447;0.354509;0.0;0.0;0.0;0.044454545;0.0;0.0;0.0;0.051363636;0.0;0.0
A;1.3282648;0.2206;0.7796;-0.27686;0.0;0.7336239999999999;0.245;0.115;0.369106;0.0;0.0;0.0;0.3498;0.0;0.324;0.3108;0.0;0.1304;0.0;0.1692
A;0.0;0.396125;0.605375;-0.545;0.0;0.274765;0.0;0.0;0.174762;0.0;0.0795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.0;0.434622222;1.021;-0.287;0.0;0.0;0.0;0.127777778;0.3429999999999999;0.93304;0.070666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;1.082457143;0.255;0.0;0.343297857;2.32498;0.30072;0.785;0.082142857;-0.3795628;0.0;0.0;-0.928428571;0.0;0.069857143;0.0;0.0;0.498214286;0.108285714;0.0;0.086
C;0.1485;0.111;1.021;-0.545;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.872;0.0
C;0.078;0.351571429;2.075;-0.4528571429999999;0.0;0.069571429;0.0;0.0;0.1356008;0.2564634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.080714286;0.0;0.935857143
C;0.0;2.2166;0.445;-0.416;0.0;0.0974;0.0;0.0;0.096468;0.0;0.0;0.0;0.0;0.4803;0.0;0.0;0.0;0.1516;0.0;0.0
C;-0.519;0.0;0.445;-0.382;0.0;0.0;0.0;0.14375;0.160828;0.211707;0.0;0.0;0.0;0.12225;0.0;0.0;0.0;0.0;0.0;0.2115
C;-0.7080255999999999;0.1625;0.8178333329999999;0.283666667;0.1561666669999999;0.0;0.0;0.0;0.327756;1.996974;0.0;0.0;0.0;1.3445;0.0;0.0;0.0;0.188333333;1.010166667;0.0
C;0.0;0.177;0.0;-0.33;0.0;0.162333333;0.0;0.0;0.0;-0.250303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.097
C;0.0;0.170333333;0.660833333;-0.545;0.0;0.0;0.0;0.0;-0.05367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.094166667;0.0;0.5485
C;-0.7224868;0.12775;0.0;1.08435;0.0;0.0;0.0;0.0;0.341212;0.0;0.0;0.0;0.0;0.12225;0.0;0.0;0.0;0.33075;0.0;0.0
C;-1.3766488;0.0;1.298166667;2.486291667;8.146126667;0.3824633329999999;0.0;0.0;1.101957;0.517022;0.0;0.0;0.0;0.247;0.0;0.0;0.0;0.094166667;0.0;0.0
C;-0.1310984;0.074;0.084833333;0.589208333;0.0;0.0;0.0;0.0;-0.1295319999999999;0.0;0.0;0.0;0.0;0.084;0.0;0.0;0.0;0.094166667;0.0;0.0
C;-1.1788063999999998;1.149571429;0.0;1.5842071430000002;0.0;0.0;0.0;0.0;1.2059096;0.0;0.090857143;0.0;0.0;0.0;0.0;0.0;0.0;0.458714286;0.0;0.0
